Bot Name,Bot Nickname,Bot Difficulty,Bot Level,Assignment Status,Quest Name,Objective Name,Step Number,Start Time,End Time
Bot27,"Aurelio Hoskinson",normal,35,Failed,"Assessment - Part 2","Zone meh_45_radio_area_mark_4","1","20:22:16","20:22:16",
Bot27,"Aurelio Hoskinson",normal,35,Failed,"Steady Signal","Zone q14_8_1","1","20:22:21","20:22:21",
Bot27,"Aurelio Hoskinson",normal,35,Failed,"Steady Signal","Zone q14_8_3","1","20:22:26","20:22:26",
Bot27,"Aurelio Hoskinson",normal,35,Failed,"Steady Signal","Zone q14_8_2","1","20:22:31","20:22:32",
Bot28,"Пётр Андрюхин",normal,8,Completed,"Search Mission","Zone pr_scout_col","1","20:19:34","20:20:12",
Bot28,"Пётр Андрюхин",normal,8,Failed,"Search Mission","Zone pr_scout_base","1","20:20:17","20:21:02",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"USEC Camp North","USEC Camp North: Objective #1","3","20:32:51","20:35:01",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"USEC Camp North","USEC Camp North: Objective #2","2","20:35:06","20:35:29",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"USEC Camp North","USEC Camp North: Objective #3","1","20:35:34","20:35:47",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"USEC Camp North","USEC Camp North: Objective #4","2","20:35:52","20:36:36",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"Convoy","Convoy: Objective #1","1","20:36:41","20:37:16",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"Convoy","Convoy: Objective #2","1","20:37:22","20:37:33",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #4","1","20:37:38","20:38:21",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #2","1","20:38:26","20:38:33",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #3","1","20:38:38","20:38:49",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"Scav Bridge Overlook","Scav Bridge Overlook: Objective #1","1","20:38:54","20:39:07",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"Sunken Village","Sunken Village: Objective #3","1","20:39:12","20:40:11",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"Sunken Village","Sunken Village: Objective #1","1","20:40:16","20:40:59",
Bot36,"Димон Пернатый (Dane)",normal,1,Completed,"Sunken Village","Sunken Village: Objective #2","1","20:41:04","20:41:39",
Bot36,"Димон Пернатый (Dane)",normal,1,Active,"Scav Town","Scav Town: Objective #5","1","20:41:44","N/A",
Bot39,"Валя Небоскрёб (Lucien)",normal,1,Completed,"Sunken Village","Sunken Village: Objective #1","1","20:38:04","20:38:26",
Bot39,"Валя Небоскрёб (Lucien)",normal,1,Completed,"Sunken Village","Sunken Village: Objective #3","1","20:38:31","20:39:38",
Bot39,"Валя Небоскрёб (Lucien)",normal,1,Completed,"Sunken Village","Sunken Village: Objective #2","1","20:39:43","20:40:54",
Bot39,"Валя Небоскрёб (Lucien)",normal,1,Active,"Scav Town","Scav Town: Objective #5","1","20:40:59","N/A",
